Date,00 Live animals (excl. fish),01 Meat and meat preparations,02 Dairy products and birds’ eggs,03 Fish (excl. marine mammals),04 Cereals and cereal preparations,05 Vegetables and fruit,"06 Sugars, sugar preparations and honey","07 Coffee, tea, cocoa, spices",08 Feeding stuff for animals,09 Miscellaneous edible products
1379,2,61,139,137,177,249,37,154,106,317
1517,18,59,142,137,198,247,35,193,142,346
1505,19,47,116,150,218,244,36,187,112,376
1413,21,55,102,142,183,230,41,194,120,325
1346,8,67,109,138,177,242,42,182,79,301
1520,12,81,130,175,162,282,45,207,107,320
1518,16,81,130,173,166,277,41,199,126,309
1532,15,78,139,195,161,328,46,192,91,286
1327,13,69,123,179,131,254,36,169,81,271
1332,17,66,117,167,127,255,39,163,122,258
1458,10,84,123,171,153,259,37,190,102,329
1272,5,75,113,163,137,207,33,163,100,277
1304,6,76,114,146,136,210,38,171,112,294
1309,10,84,121,141,129,208,36,173,99,306
1331,14,89,126,135,147,225,41,175,107,274
1444,16,87,115,138,157,231,50,214,101,335
1342,6,90,113,140,157,235,49,183,90,279
1304,11,86,118,128,142,239,44,189,77,270
1525,30,84,135,172,158,253,46,193,125,329
1462,18,76,120,194,153,261,42,181,104,313
1412,20,69,124,176,138,249,40,196,106,294
1414,19,84,117,180,133,242,41,169,106,323
1612,22,97,147,188,171,280,46,203,115,344
1439,10,86,127,174,144,209,43,191,139,317
1686,10,109,164,205,180,252,43,222,149,353
1500,9,83,127,181,158,225,44,208,148,318
1496,8,79,129,189,153,255,43,208,115,316
1830,14,97,146,237,195,292,56,259,153,382
1845,10,91,178,218,197,290,57,245,169,391
1758,11,107,168,229,181,284,54,240,112,372
1838,12,93,187,255,190,307,49,209,186,350
1688,22,75,195,217,171,278,49,216,162,303
1674,27,84,200,211,163,273,51,236,95,335
1364,52,55,154,159,135,241,37,172,97,262
1692,16,85,202,193,164,289,50,228,122,342
1531,6,85,194,166,156,250,45,187,101,340
1774,11,109,190,185,179,296,55,231,134,383
1597,11,94,160,170,175,301,47,209,102,329
1625,7,84,166,166,175,265,53,210,183,317
1771,13,94,145,181,218,316,62,247,127,366
1550,14,84,138,173,188,293,51,221,83,303
1858,12,91,166,222,213,287,55,235,186,391
1708,27,77,175,223,203,280,54,214,101,353
1540,16,93,144,181,167,275,51,192,107,314
1678,25,82,142,213,180,318,52,207,140,318
1712,37,92,155,202,180,303,52,224,109,358
1826,15,113,172,186,198,318,55,240,142,387
1754,7,107,150,195,188,317,54,240,128,369
1921,8,123,170,188,210,350,55,278,127,412
1616,17,94,144,172,191,284,50,216,112,335
1902,6,112,181,206,234,318,60,277,134,375
1877,12,112,138,190,231,331,60,276,129,398
